整租 | 窝趣东晓南新都荟轻社区 让你租房不将就.,2200元/月,尚领雅筑,http://short.58.com/zd_p/c40fabc6-54db-4248-9b8d-2ed837f5ce8b/?target=bh-16-xgk_hvimob_88837230728159q-feykn&end=end
整租 | 祈福新村 翠怡居 实用三房 装修保养新净,2200元/月,祈福新邨翠湖居,http://short.58.com/zd_p/d2e11f7d-6fa4-484a-8d85-73fa0dbdf0f1/?target=bh-16-xgk_hvimob_88313165395891q-feykn&end=end
单间 | 共享公寓 单间 站前路流花路39号 1室带厨房 南北,2200元/月,流花路39号大院,http://short.58.com/zd_p/ed2af385-f857-40ed-9fac-b17df35fc3bf/?target=bh-16-xgk_ephv_83085536931033q-feykn&end=end
整租 | 全新WowWay公寓北京路社区，300米到公园前地铁,2200元/月,文明路,http://short.58.com/zd_p/f8ead20d-3b97-41ab-9e7d-a348f4f2ea46/?target=bh-16-xgk_hvimob_83831612125412q-feykn&end=end
整租 | 棠下金地旗下青年公寓BRT棠下站无全新家电特色装修,2200元/月,怡景花园,http://short.58.com/zd_p/b778785e-f0a0-4474-a538-6a996003bba9/?target=bh-16-xgk_hvimob_83985153773650q-feykn&end=end
整租 | 三元里大道 岗贝路低层两房出租 采光好 保养好 家电,2200元/月,棠岗楼,http://short.58.com/zd_p/ea4f7c55-cf43-4833-980e-9103a7846299/?target=bh-16-xgk_hvimob_88832921580987q-feykn&end=end
整租 | 魔方公寓宝岗店临近广百新一城，江南西.押一付一，灵活,2200元/月,润汇大厦,http://short.58.com/zd_p/ff494f7a-e21d-44c7-adb6-d7e41d2fa2fe/?target=bh-16-xgk_hvimob_88876057877476q-feykn&end=end
整租 | 柯木塱金铺北街 3室1厅1卫,2200元/月,柯木塱,http://short.58.com/zd_p/8b9e4f90-250f-4cb4-afc9-e77d298014b2/?target=bh-16-xgk_hvimob_88834668244261q-feykn&end=end
整租 | 洪德居后面的楼梯三房 特价房 有钥匙看房迅速 笋租盘,2200元/月,洪德居,http://short.58.com/zd_p/620e60ec-2916-4d7d-861a-67b662fd719e/?target=bh-16-xgk_hvimob_88833029201305q-feykn&end=end
整租 | 你的心有一道墙，可我有一把梯！！来比高哈哈哈哈,2200元/月,紫来大街小区,http://short.58.com/zd_p/4f0a3d33-7324-4ca7-8c4d-23edee1b3a7a/?target=bh-16-xgk_hvimob_88846738500453q-feykn&end=end
整租 | 祈福生活无限 精装复式 家私电齐全 钥匙在手 花都湖,2200元/月,祈福生活无限,http://short.58.com/zd_p/ae4a3bf8-f8c3-47fe-b3ac-0010333f885d/?target=bh-16-xgk_hvimob_88874257231639q-feykn&end=end
整租 | 棠德花苑 2室1厅1卫,2200元/月,棠德花苑,http://short.58.com/zd_p/c610ceb5-6594-43fe-8f9a-48b8970936f9/?target=bh-16-xgk_hvimob_88792535635953q-feykn&end=end
整租 | 番禺天安科技园内菁华白领公寓 76平方2室 家电齐,2200元/月,天安菁华公寓,http://short.58.com/zd_p/09ba1702-220b-4a71-889f-0f3ba19cafc7/?target=bh-16-xgk_hvimob_88361956810709q-feykn&end=end
整租 | 昌岗海冠服装市场旁 超大两房 少有放租,2200元/月,徳怡居,http://short.58.com/zd_p/02c1f549-c061-4a8c-bf9a-15a90b7eccdd/?target=bh-16-xgk_hvimob_88872110717534q-feykn&end=end
整租 | 5号线东圃地铁站，公寓精装修，家电齐全，舒适明亮，非,2200元/月,东圃怡景公寓,http://short.58.com/zd_p/a6aba893-c381-4489-b3a9-e587c822dabd/?target=bh-16-xgk_hvimob_88874121290543q-feykn&end=end
单间 | 品质租房选自如 非中介 仅2360元 全新家具家电,2200元/月,珠光新城御景二期,http://short.58.com/zd_p/8d9e8794-019f-4839-bfbf-d5dba7c5f715/?target=bh-16-xgk_ephv_88877591775194q-feykn&end=end
整租 | 华乐药厂大院 1室0厅1卫,2200元/月,华乐药厂大院,http://short.58.com/zd_p/8f77e85f-98b4-47af-9015-568b1f35a45d/?target=bh-16-xgk_hvimob_88305529647424q-feykn&end=end
整租 | 东川路中层一房 新房装修，全新高档家具家电，拎包入住,2200元/月,东华西路小区,http://short.58.com/zd_p/a66f08b6-9866-4553-9be6-c90b4ac29c31/?target=bh-16-xgk_hvimob_88315174486693q-feykn&end=end
整租 | 泊寓滨江东/新开业92折/近地铁鹭江站/配套完善/精,2200元/月,帝景华苑,http://short.58.com/zd_p/5de0ebc9-adfc-4ae4-892d-2d74394a3f53/?target=bh-16-xgk_hvimob_88346569255550q-feykn&end=end
整租 | 全新家私家电 祈福食街和地铁口在家楼下 急租 带豪华,2200元/月,祈福缤纷汇,http://short.58.com/zd_p/7a33217b-37b1-4ff2-93d3-7cb5fd181ba1/?target=bh-16-xgk_hvimob_83624801552952q-feykn&end=end
整租 | 免中介~热租中~天河中心地带全新电梯楼公寓,2200元/月,华海达公寓,http://short.58.com/zd_p/fc971b09-aadb-42b4-9e46-ca960aad5512/?target=bh-16-xgk_hvimob_6616400162173q-feykn&end=end
整租 | 梦马青年社区 地铁3号线 可出差短租 拎包入住 配套,2200元/月,富山路47号小区,http://short.58.com/zd_p/5acc29d9-753f-475f-8089-2364a15b236c/?target=bh-16-xgk_hvimob_88399521137420q-feykn&end=end
单间 | 品质租房选自如 非中介 全新家具 高素质舍友 仅23,2200元/月,珠光新城御景二期,http://short.58.com/zd_p/aaa4a13f-8bfe-4533-8a08-da183fa3ee0d/?target=bh-16-xgk_ephv_88877179409084q-feykn&end=end
整租 | 免市桥地铁口附近，新3房2房1房带厅大阳台高档配置齐,2200元/月,侨联社区新城区,http://short.58.com/zd_p/45baee8d-44f2-4ca1-9493-b123f6ec3a53/?target=bh-16-xgk_hvimob_88834194578143q-feykn&end=end
整租 | 祥景花园 精装2房 笋房出租两房2300 带天燃气,2200元/月,祥景花园,http://short.58.com/zd_p/aa20be07-d218-4a59-8248-6e452d881eda/?target=bh-16-xgk_hvimob_83048871855459q-feykn&end=end
整租 | 非中介购书中心旁 全新时尚精装白领公寓 实景拍摄 专,2200元/月,体育西路,http://short.58.com/zd_p/a714d5d1-5bdb-4185-bae7-4e20cdc4c350/?target=bh-16-xgk_hvimob_84764719101703q-feykn&end=end
整租 | 镜湖大道 豪利花园 大2房2厅 小区安静宜居 采光好,2200元/月,豪利花园,http://gz.58.com/zufang/33230178232639x.shtml
整租 | 锦绣国际二期 大三房带主套 整洁舒适 拎包就能入住,2200元/月,锦绣御景国际,http://gz.58.com/zufang/33199856278845x.shtml
整租 | 员村 天河公园旁 东成花园 两房家私家电齐全 仅租2,2200元/月,东成花苑,http://gz.58.com/zufang/32703870105153x.shtml
整租 | 绿茵庭园 近地铁口小区 业主初次出租  不造假,2200元/月,绿茵庭园,http://gz.58.com/zufang/32681028354502x.shtml
整租 | 凤妍苑(碧桂园凤凰城 3室1厅1卫,2200元/月,凤妍苑(碧桂园凤凰城),http://gz.58.com/zufang/33058556149433x.shtml
整租 | 东山口 精装两房 看房方便 近培正中学 培正小学 近,2200元/月,东华东路小区,http://gz.58.com/zufang/32986774698560x.shtml
整租 | 昊龙花园 靓装修 东南向 家什家电齐全 保养非常好,2200元/月,昊龙花园北区,http://gz.58.com/zufang/33311342529860x.shtml
整租 | 赤岗华怡花园 精装修 2房1厅 望花园 东南朝向 正,2200元/月,华怡花园,http://gz.58.com/zufang/31709279376968x.shtml
整租 | 保利大都汇单间家私电器齐全奥园城市天地旁万达商圈,2200元/月,保利大都汇,http://gz.58.com/zufang/33322629052097x.shtml
整租 | 广花路 自由人花园 唯一两房出租 高层南向望花园手快,2200元/月,自由人花园,http://gz.58.com/zufang/33323352148023x.shtml
整租 | 北京南路德佑坊 1室1厅1卫,2200元/月,北京路,http://gz.58.com/zufang/33320353097803x.shtml
整租 | 政通路区府大院 2室1厅0卫,2200元/月,景泰,http://gz.58.com/zufang/33330432886724x.shtml
整租 | 实价笋租 保利花城 雅居乐锦城旁路劲隽悦豪庭家私电齐,2200元/月,路劲隽悦豪庭,http://gz.58.com/zufang/33311926785451x.shtml
整租 | 西华路金花直街近广州市第四中学 陈家祠地铁交通便利,2200元/月,陈家祠,http://gz.58.com/zufang/32028299173327x.shtml
整租 | 凤凰三街 1室1厅1卫,2200元/月,宝业路,http://gz.58.com/zufang/33319242193100x.shtml
整租 | 急租星河盛世两房，带空中花园，家私家电的配置给你一个,2200元/月,广州星河盛世,http://gz.58.com/zufang/33310129621440x.shtml
整租 | 明珠东苑 便宜2室出租 干净整洁 拎包入住 看房方便,2200元/月,明珠东苑,http://gz.58.com/zufang/33322811128257x.shtml
整租 | 锦绣半岛温馨小家三房带家私电器 只需3000你即可入,2200元/月,锦绣半岛,http://gz.58.com/zufang/33298381529908x.shtml
整租 | 南洲花苑 方正大2房 干净舒适 东南向有阳光 拎包入,2200元/月,南洲花苑,http://gz.58.com/zufang/32955359812678x.shtml
整租 | 金泽惠百氏 2室2厅1卫,2200元/月,金泽惠百氏,http://gz.58.com/zufang/32645177889731x.shtml
整租 | 敏捷科创中心 2室1厅1卫,2200元/月,敏捷科创中心,http://gz.58.com/zufang/33330424277555x.shtml
整租 | 东山口公寓 一房一厅 家私齐全 安静 双地铁 七中旁,2200元/月,龟岗大马路小区,http://gz.58.com/zufang/32725246747186x.shtml
单间 | 育兰小区 2室1厅1卫 男女不限,2200元/月,体育西路,http://gz.58.com/hezu/33196935913672x.shtml
整租 | 时代春树里 2400元 3室2厅2卫 精装修 全套高,2200元/月,时代春树里,http://gz.58.com/zufang/33278457731382x.shtml
整租 | 四圣街小区 环境安静舒适 低层2房 只需2600,2200元/月,东华西路小区,http://gz.58.com/zufang/32703411720901x.shtml
整租 | 祈福新村天湖居精装三房 家私家电齐全 方便看房 随时,2200元/月,祈福新邨天湖居,http://gz.58.com/zufang/33321086815816x.shtml
整租 | 广园新村 2室1厅1卫,2200元/月,广园新村,http://gz.58.com/zufang/33311376973370x.shtml
单间 | 新港国际公寓出租 1室1厅1卫 男女不限,2200元/月,镜湖大道,http://gz.58.com/hezu/33287130774209x.shtml
整租 | 领汇国际公寓 1室0厅1卫,2200元/月,东圃,http://gz.58.com/zufang/29561855332789x.shtml
整租 | 银业国际豪华装修单间，临近客村地铁口，交通非常便利,2200元/月,银业国际,http://gz.58.com/zufang/33324457714734x.shtml
单间 | 珠江新城女神合租   楼下有超市 随时看房 交通便利,2200元/月,保林苑,http://gz.58.com/hezu/32657357855534x.shtml
整租 | 非常适合附近上班的居住 您的正确选择将为您带来温馨舒,2200元/月,怡安花园,http://gz.58.com/zufang/33223460560301x.shtml
整租 | 祈福新村缤纷汇 高层电梯房 视野开阔 家私家电全齐,2200元/月,祈福缤纷汇,http://gz.58.com/zufang/33020254205249x.shtml
整租 | 天玺湾 大四房 仅租2500 抢！抢！抢！,2200元/月,南沙碧桂园天玺湾,http://gz.58.com/zufang/32759714958916x.shtml
整租 | 三元里大道 晓翠苑 电梯两房 看房方便,2200元/月,晓翠苑,http://gz.58.com/zufang/33222252491060x.shtml
整租 | 望岗西岭 3室2厅2卫,2200元/月,嘉禾望岗,http://gz.58.com/zufang/33245192242225x.shtml
整租 | 白云山脚下 云山居中层两房全新装修 可随时入住 门口,3000元/月,云山居,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE7Vw2vV3QAiMbjqi7bAo3P8gT9WSjAhmNSN-XLlZ92xIZ7F5W2sUyn3hL2WHrTnZuhO9jY2xYwSl2soj8ifH95mbQFBJxIZMOkUyGyD1TweOpeB-UK1L3QVZbHHv_bheSHq6kfE6LcYByukPmMkDu62eFWvNPmTtZAHKr8igqkUaOL46dYK_qEFT-1iM0Ga7-xWLwbW17c2BYxjg0bkbOvKoj08mTC5as&local=3&pubid=28333850&apptype=0&psid=192716674199281110770876105&entinfo=33319550160437_0&cookie=|||c5/njVqfX hNB7xTA0ovAg==&fzbref=0&key=&params=busitime^desc
整租 | 奥园养生广场 2房1厅 精装修 出门方便 近地铁 拎,3000元/月,奥园养生广场,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE8KQpLN6LUQV39bHlvkws6sgT9WSjAhmNCKvNreTmGDnJFEZ7rqIMo3hL2WHrTnZu881ThfFqptuLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F45RxlRSi1t09Jht4WW0Icv9IJ057leLrdqDMybbOabIFbpo2MXyAtPWCCTzo_2_RRfj72RQY6T83Sb-Woj85FQsTF9_50SG2OA&local=3&pubid=28383310&apptype=0&psid=192716674199281110770876105&entinfo=33330046031924_0&cookie=|||c5/njVqfX hNB7xTA0ovAg==&fzbref=0&key=&params=busitime^desc
整租 | 魔方公寓 临近机场路 三元里大道 远景路 万达广场,3000元/月,岗贝路32-1号商住楼,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE9-wPnxt-i652xcnT5xncjMgT9WSjAhmN53lwMK-XCN22gKiIYqOBInhL2WHrTnZuCJYCv8DOlWCLpHwm0RlWlocAMCALJ1RVFsR2ZKVm1-WLIrtUgl9F4-n094rc3iaJMilk4pEWaDxIJ057leLrdqDMybbOabIFvxzfkfsGvLmCCTzo_2_RRfj72RQY6T83Sb-Woj85FQsTF9_50SG2OA&local=3&pubid=27906070&apptype=0&psid=192716674199281110770876105&entinfo=33229826436142_0&cookie=|||c5/njVqfX hNB7xTA0ovAg==&fzbref=0&key=&params=busitime^desc
单间 | 品质租房选自如 仅2290 全新家具家电 优质室友合,3000元/月,珠光新城御景二期,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfoa3z6OFZ1E0fX3X--lYISbcf-5NvxKrSqQx9Gm_-h616ShhMVyBWShfcGebxS_RY4C3NskCzYdbW6_Ka-kRM3l2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkOLH_ONrZJyq_TIqXFiI7yGgKQ0eYVkaR_GGRNvaJU8E7agNiTZOkKgl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZDK9UDrJBUWCA&local=3&pubid=28353906&apptype=0&psid=192716674199281110770876105&entinfo=33311606910013_0&cookie=|||c5/njVqfX hNB7xTA0ovAg==&fzbref=0&key=&params=busitime^desc
单间 | 凤安花园 招合租室友 小区物业环境好 房租月付,3000元/月,凤安花园,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfojv8bqP13ZU8WOh9JCzPVQsf-5NvxKrSqhoxf-5-FgUka0nm20WBxFvcGebxS_RY4EzVrWVGOfvyL5EgZP_B2z2bQFBJxIZMOkUyGyD1TweN3RaKjcjYRkBYlE_dQPYGb3FUV7FgV3LegKQ0eYVkaR_GGRNvaJU8EP6irI4HgcvMl5A6UFjXZ2KtzPhO3qjrinQ4q_ZPMmZDK9UDrJBUWCA&local=3&pubid=28030251&apptype=0&psid=192716674199281110770876105&entinfo=33256110916809_0&cookie=|||c5/njVqfX hNB7xTA0ovAg==&fzbref=0&key=&params=busitime^desc
整租 | 地铁五号线 品牌纳税公寓 管家直租两房 家电齐全 拎,3000元/月,福庆里六巷小区,http://gz.58.com/zufang/33258760817355x.shtml
整租 | 魔方公寓 环境舒适 临近地铁 可长短租 家电齐全 押,3000元/月,峻林,http://gz.58.com/zufang/33258229002298x.shtml
整租 | 魔方公寓 环境舒适 临近地铁 可长短租 家电齐全 押,3000元/月,峻林,http://gz.58.com/zufang/33258216710734x.shtml
整租 | 桂花岗三房一厅两卫 可当宿舍楼 业主降价仅租3000,3000元/月,桂花岗小区,http://gz.58.com/zufang/32251566653870x.shtml
整租 | 春暧花园 2室1厅1卫,3000元/月,春暧花园,http://gz.58.com/zufang/33168853992888x.shtml
整租 | 雅居乐君域公馆 1室0厅1卫,3000元/月,雅居乐君域公馆,http://gz.58.com/zufang/33330411468461x.shtml
整租 | 棠东丰华街与棠东丰乐路交叉口 3室1厅1卫,3000元/月,棠德南路,http://gz.58.com/zufang/32881052296651x.shtml
整租 | 永大新城 家私家电齐全 平价出租 拎包马上入住！,3000元/月,永大新城,http://gz.58.com/zufang/33263570264647x.shtml
整租 | 中海誉城南苑 1室1厅1卫,3000元/月,中海誉城南苑,http://gz.58.com/zufang/33211083353140x.shtml
整租 | 全新WowWay公寓北京路社区，步行300米即到地铁,3000元/月,北京路,http://gz.58.com/zufang/33329652384331x.shtml
整租 | 翠湖山庄 1室0厅1卫,3000元/月,翠湖山庄,http://gz.58.com/zufang/33290277773775x.shtml
整租 | 杨桃公园红璞公寓直租 5号线三溪站 精装家电家私 实,3000元/月,福庆里六巷小区,http://gz.58.com/zufang/33224828515886x.shtml
整租 | 大沙地西路273号大院 2室1厅1卫,3000元/月,大沙地西路273号大院,http://gz.58.com/zufang/33189901456463x.shtml
单间 | 潭村地铁站附近 2360 大飘窗主卧 无,3000元/月,珠光新城御景二期,http://gz.58.com/hezu/33269351618221x.shtml
整租 | 凤馨苑 南北对流 中高楼层 采光一级棒 家私新颖 拎,3000元/月,凤馨苑(碧桂园凤凰城),http://gz.58.com/zufang/31807243301324x.shtml
整租 | 海外花园 精装一房一厅 小区环境好 家私家电齐 近地,3000元/月,海外花园,http://gz.58.com/zufang/33236286080964x.shtml
单间 | 猎德美林湖畔花园北区 5室2厅3卫 业主直租 复式公,3000元/月,东圃,http://gz.58.com/hezu/32115812018603x.shtml
整租 | 东湖州花园 南向 大2房豪装 随时看房 环境优雅,3000元/月,东湖洲花园A区,http://gz.58.com/zufang/33263963434423x.shtml
单间 | 福苑小区 3室1厅1卫 男女不限,3000元/月,福苑小区,http://gz.58.com/hezu/33330420091447x.shtml
整租 | 广雅路 精装一房一厅 时尚生活  欢迎来电,3000元/月,广雅社区,http://gz.58.com/zufang/33053395180864x.shtml
整租 | 棠东 富力天朗明居 家私齐全带平台 光线好 随时看房,3000元/月,富力天朗明居,http://gz.58.com/zufang/32778222322115x.shtml
"整租 | 白云晓翠苑,房屋干净清爽,户型佳,为您呈现家的感觉",3000元/月,晓翠苑,http://gz.58.com/zufang/33298263330859x.shtml
整租 | 非常适合附近上班的居住 您的正确选择将为您带来温馨舒,3000元/月,怡安花园,http://gz.58.com/zufang/33223460560301x.shtml
整租 | 京溪云景花园 精装两房 电梯高层 拎包入住,3000元/月,云景花园云桦苑,http://gz.58.com/zufang/33219937676099x.shtml
整租 | 穗花新村 交通方便近地铁 环境好舒适楼层户型方正超靓,3000元/月,穗花新村,http://gz.58.com/zufang/33219818333239x.shtml
单间 | 天河北华润万家省委宿舍大院12平大卧室，拎包入住,3000元/月,天河区省政府大院,http://gz.58.com/hezu/33323633260091x.shtml
整租 | 天马河壹号 3室2厅2卫,3000元/月,天马河壹号,http://gz.58.com/zufang/33307619868214x.shtml
整租 | 洛溪新城 精装三房 配套齐全 近地铁 拎包入住,3000元/月,洛溪新城,http://gz.58.com/zufang/32832140761905x.shtml
整租 | 冠寓天河店 离CBD近 全新装修 家具家电齐全 可做,3000元/月,天河客运站,http://gz.58.com/zufang/32106365360317x.shtml
整租 | 萝岗万达广场 温馨时尚白领公寓 拎包即住 交通方便,3000元/月,萝岗万达广场SOHO公寓,http://gz.58.com/zufang/33296466430793x.shtml
整租 | 窖口五号线瑞安公寓 精装电梯一房采光好拎包入住,3000元/月,瑞安花园,http://gz.58.com/zufang/33279027522240x.shtml
整租 | 花都雅居乐锦城花漾集 精装2房2厅 雅宝新城 保利花,3000元/月,雅居乐锦城花漾集,http://gz.58.com/zufang/33230212388421x.shtml
整租 | 丽馨庭 一房一厅电梯 高层视野开阔 南向,3000元/月,丽馨庭,http://gz.58.com/zufang/32887962721982x.shtml
整租 | 锦绣生态园《配套齐全 欲租从速》,3000元/月,锦绣生态园,http://gz.58.com/zufang/31892302236973x.shtml
整租 | 洛溪 华荟明苑 精装修二房 家电齐全 电梯楼 采光环,3000元/月,华荟明苑,http://gz.58.com/zufang/32169082036152x.shtml
整租 | 锦绣国际二期 大三房带主套 整洁舒适 拎包就能入住,3000元/月,锦绣御景国际,http://gz.58.com/zufang/33199856278845x.shtml
整租 | 龙光峰景华庭 成熟小区 交通便利 配套齐全 安静舒适,3000元/月,龙光峰景华庭,http://gz.58.com/zufang/32324108966598x.shtml
整租 | 棠德花苑 2室1厅1卫,3000元/月,棠德花苑,http://gz.58.com/zufang/33233671420485x.shtml
整租 | 握山好运来 3室1厅1卫,3000元/月,同和,http://gz.58.com/zufang/33256535264444x.shtml
